Position (mm),Grayscale Value,X (pixel),Y (pixel)
0.0,179,152.0,29.0
1.0805272150667933,190,151.75,29.96875
2.1610544301335866,193,151.5,30.9375
3.24158164520038,204,151.25,31.90625
4.322108860267173,208,151.0,32.875
5.402636075333966,206,150.75,33.84375
6.48316329040076,197,150.5,34.8125
7.563690505467553,184,150.25,35.78125
8.644217720534346,150,150.0,36.75
9.724744935601139,141,149.75,37.71875
10.805272150667932,107,149.5,38.6875
11.885799365734727,90,149.25,39.65625
12.96632658080152,42,149.0,40.625
14.046853795868312,37,148.75,41.59375
15.127381010935107,21,148.5,42.5625
16.207908226001898,23,148.25,43.53125
17.288435441068692,23,148.0,44.5
18.368962656135487,31,147.75,45.46875
19.449489871202278,41,147.5,46.4375
20.530017086269073,50,147.25,47.40625
21.610544301335864,62,147.0,48.375
22.69107151640266,78,146.75,49.34375
23.771598731469453,83,146.5,50.3125
24.852125946536244,85,146.25,51.28125
25.93265316160304,83,146.0,52.25
27.013180376669833,80,145.75,53.21875
28.093707591736624,79,145.5,54.1875
29.17423480680342,75,145.25,55.15625
30.254762021870214,83,145.0,56.125
31.335289236937005,93,144.75,57.09375
32.415816452003796,102,144.5,58.0625
33.49634366707059,129,144.25,59.03125
34.576870882137385,148,144.0,60.0
35.65739809720418,184,143.75,60.96875
36.737925312270974,200,143.5,61.9375
37.81845252733776,233,143.25,62.90625
38.898979742404556,246,143.0,63.875
39.97950695747135,253,142.75,64.84375
41.060034172538145,249,142.5,65.8125
42.14056138760494,239,142.25,66.78125
43.22108860267173,232,142.0,67.75
44.30161581773852,217,141.75,68.71875
45.38214303280532,203,141.5,69.6875
46.46267024787211,193,141.25,70.65625
47.543197462938906,187,141.0,71.625
48.6237246780057,182,140.75,72.59375
49.70425189307249,165,140.5,73.5625
50.78477910813928,162,140.25,74.53125
51.86530632320608,153,140.0,75.5
52.94583353827287,153,139.75,76.46875
54.02636075333967,150,139.5,77.4375
55.106887968406454,149,139.25,78.40625
56.18741518347325,153,139.0,79.375
57.26794239854004,158,138.75,80.34375
58.34846961360684,170,138.5,81.3125
59.42899682867363,175,138.25,82.28125
60.50952404374043,177,138.0,83.25
61.590051258807215,178,137.75,84.21875
62.67057847387401,181,137.5,85.1875
63.751105688940804,185,137.25,86.15625
64.83163290400759,179,137.0,87.125
65.91216011907439,175,136.75,88.09375
66.99268733414118,174,136.5,89.0625
68.07321454920798,171,136.25,90.03125
69.15374176427477,166,136.0,91.0
