Position (mm),Grayscale Value (0-255)
0.0,179.0
1.0805272150667933,184.0
2.1610544301335866,196.0
3.24158164520038,198.0
4.322108860267173,204.0
5.402636075333966,208.0
6.48316329040076,205.0
7.563690505467553,197.0
8.644217720534346,184.0
9.724744935601139,148.0
10.805272150667932,139.0
11.885799365734727,102.0
12.96632658080152,90.0
14.046853795868312,37.0
15.127381010935107,34.0
16.207908226001898,21.0
17.288435441068692,23.0
18.368962656135487,28.0
19.449489871202278,37.0
20.530017086269073,50.0
21.610544301335864,62.0
22.69107151640266,74.0
23.771598731469453,83.0
24.852125946536244,85.0
25.93265316160304,83.0
27.013180376669833,75.0
28.093707591736624,73.0
29.17423480680342,75.0
30.254762021870214,83.0
31.335289236937005,92.0
32.415816452003796,102.0
33.49634366707059,129.0
34.576870882137385,148.0
35.65739809720418,154.0
36.737925312270974,196.0
37.81845252733776,212.0
38.898979742404556,233.0
39.97950695747135,248.0
41.060034172538145,254.0
42.14056138760494,249.0
43.22108860267173,239.0
44.30161581773852,232.0
45.38214303280532,217.0
46.46267024787211,203.0
47.543197462938906,193.0
48.6237246780057,176.0
49.70425189307249,170.0
50.78477910813928,165.0
51.86530632320608,162.0
52.94583353827287,150.0
54.02636075333967,147.0
55.106887968406454,149.0
56.18741518347325,153.0
57.26794239854004,163.0
58.34846961360684,170.0
59.42899682867363,175.0
60.50952404374043,177.0
61.590051258807215,180.0
62.67057847387401,184.0
63.751105688940804,185.0
64.83163290400759,179.0
65.91216011907439,179.0
66.99268733414118,174.0
68.07321454920798,171.0
69.15374176427477,166.0
