Index,Grayscale Value
0,179
1,190
2,193
3,204
4,208
5,206
6,196
7,184
8,150
9,141
10,107
11,102
12,90
13,42
14,37
15,21
16,23
17,31
18,41
19,50
20,62
21,78
22,89
23,85
24,83
25,80
26,79
27,75
28,83
29,93
30,102
31,129
32,148
33,148
34,184
35,212
36,233
37,246
38,253
39,249
40,239
41,232
42,217
43,203
44,193
45,187
46,182
47,165
48,162
49,153
50,150
51,149
52,153
53,158
54,166
55,170
56,175
57,177
58,178
59,184
60,185
61,179
62,175
63,174
64,171
65,166
