Index,Grayscale Value (0-255)
0,179
1,191
2,195
3,202
4,208
5,206
6,198
7,187
8,159
9,143
10,116
11,95
12,60
13,38
14,28
15,23
16,27
17,35
18,45
19,56
20,68
21,81
22,87
23,86
24,82
25,78
26,76
27,78
28,84
29,94
30,103
31,127
32,148
33,186
34,205
35,229
36,244
37,252
38,250
39,243
40,234
41,221
42,207
43,196
44,189
45,181
46,173
47,166
48,158
49,151
50,147
51,149
52,155
53,162
54,169
55,175
56,177
57,179
58,183
59,183
60,179
61,176
62,172
63,170
64,166
