Distance (mm),Grayscale Value (0-255)
0.0,179
1.0805272150667933,191
2.1610544301335866,195
3.24158164520038,202
4.322108860267173,208
5.402636075333966,206
6.48316329040076,198
7.563690505467553,187
8.644217720534346,159
9.724744935601139,143
10.805272150667932,116
11.885799365734727,95
12.96632658080152,60
14.046853795868312,38
15.127381010935107,28
16.207908226001898,23
17.288435441068692,27
18.368962656135487,35
19.449489871202278,45
20.530017086269073,56
21.610544301335864,68
22.69107151640266,81
23.771598731469453,87
24.852125946536244,86
25.93265316160304,82
27.013180376669833,78
28.093707591736624,76
29.17423480680342,78
30.254762021870214,84
31.335289236937005,94
32.415816452003796,103
33.49634366707059,127
34.576870882137385,148
35.65739809720418,186
36.737925312270974,205
37.81845252733776,229
38.898979742404556,244
39.97950695747135,252
41.060034172538145,250
42.14056138760494,243
43.22108860267173,234
44.30161581773852,221
45.38214303280532,207
46.46267024787211,196
47.543197462938906,189
48.6237246780057,181
49.70425189307249,173
50.78477910813928,166
51.86530632320608,158
52.94583353827287,151
54.02636075333967,147
55.106887968406454,149
56.18741518347325,155
57.26794239854004,162
58.34846961360684,169
59.42899682867363,175
60.50952404374043,177
61.590051258807215,179
62.67057847387401,183
63.751105688940804,183
64.83163290400759,179
65.91216011907439,176
66.99268733414118,172
68.07321454920798,170
69.15374176427477,166
