x,y,gray
152,29,179
152,30,190
151,31,198
151,32,204
151,33,208
151,34,206
150,35,197
150,36,184
150,37,150
150,38,141
149,39,102
149,40,90
149,41,42
149,42,37
148,43,21
148,44,23
148,45,31
148,46,41
147,47,50
147,48,62
147,49,78
147,50,89
146,51,85
146,52,83
146,53,80
146,54,79
145,55,75
145,56,83
145,57,93
145,58,102
144,59,129
144,60,148
144,61,184
143,62,212
143,63,233
143,64,246
143,65,253
142,66,249
142,67,239
142,68,232
142,69,217
141,70,203
141,71,193
141,72,187
141,73,182
140,74,165
140,75,162
140,76,153
140,77,150
139,78,149
139,79,153
139,80,158
139,81,166
138,82,175
138,83,177
138,84,178
138,85,181
137,86,185
137,87,179
137,88,175
137,89,171
136,90,171
136,91,166
