Position,Grayscale Value
0,179
1,184
2,196
3,198
4,206
5,208
6,205
7,197
8,185
9,148
10,139
11,102
12,85
13,37
14,34
15,21
16,20
17,28
18,37
19,49
20,60
21,74
22,83
23,79
24,77
25,75
26,73
27,71
28,79
29,92
30,102
31,128
32,154
33,196
34,219
35,236
36,248
37,254
38,248
39,239
40,232
41,217
42,194
43,184
44,176
45,170
46,162
47,157
48,150
49,150
50,154
51,157
52,163
53,175
54,180
55,179
56,180
57,185
58,186
59,182
60,179
61,186
62,185
63,182
64,177
